conc.,E,sc,topline,bottline,x8,x7,x6,x5,x4,x3,x2,x1,x0
1,0.1,10,1,0,989675.6716,-306710.462,32706.03832,-801.038354,-121.6566561,13.69687272,-0.814935746,0.036385013,-0.000469415
1,-0.1,10,1,0,-2686713.523,-1089934.218,-185483.5238,-17130.42824,-939.5491273,-30.81390289,-0.62982429,-0.005231998,0.000461425
1,0.1,25,1,0,-2843052.065,1115482.078,-182288.7637,16042.77115,-827.2862922,26.68722133,-0.742722705,0.03864582,-0.000837957
1,-0.1,25,1,0,-1542344.833,-617049.5498,-104556.6981,-9830.416966,-569.1643771,-20.57819716,-0.522043773,0.001858759,0.000833937
1,0.1,50,1,0,-585632.0606,250554.408,-47339.18672,5009.167944,-315.9308169,12.4204557,-0.427358395,0.035017743,-0.000939908
1,-0.1,50,1,0,-4007693.221,-1620453.004,-271295.3448,-24390.89695,-1282.935368,-40.17510518,-0.79858792,0.005815974,0.000982738
1,0.1,75,1,0,-111823.0369,45239.88129,-11020.74428,1622.50527,-136.096911,6.785808365,-0.295831283,0.032910752,-0.00087259
1,-0.1,75,1,0,-2201891.374,-785764.4716,-109218.7131,-7283.471046,-221.7467263,-1.245368909,0.019374818,0.017498744,0.001016846
1,0.1,100,1,0,265109.2153,-88381.0264,8521.679462,97.70734235,-67.25914341,4.862215462,-0.243502815,0.031837049,-0.000786526
1,-0.1,100,1,0,2479905.933,1192516.976,235880.8854,24810.59035,1494.603988,51.92109885,0.94519803,0.027584029,0.001002172
1,0.2,10,1,0,-27579.91248,22000.30266,-7367.308544,1364.219127,-157.4481224,12.53460814,-0.769438268,0.036690402,-0.000506668
1,-0.2,10,1,0,-21241.05164,-16590.78162,-5431.406006,-954.3083551,-97.5791695,-5.790028272,-0.194355731,-0.003466502,0.00052629
1,0.2,25,1,0,-41472.87119,31632.44744,-9922.505606,1662.08174,-163.746146,10.45506437,-0.584691498,0.042596219,-0.001191879
1,-0.2,25,1,0,-53027.23202,-43508.93884,-14788.47369,-2686.531506,-281.8516459,-17.04844232,-0.594403106,-0.006919315,0.001242286
1,0.2,50,1,0,-20763.25812,15494.56984,-4728.782437,766.9903839,-73.415668,4.761893901,-0.330282593,0.040281224,-0.001724989
1,-0.2,50,1,0,38933.74532,33980.6361,12293.3456,2386.965608,267.9673889,17.5287446,0.595181308,0.018589815,0.001873932
1,0.2,75,1,0,16076.86783,-13163.24611,4427.001177,-780.5900114,75.21409543,-3.412318646,-0.063943668,0.036154816,-0.001896205
