conc.,E,sc,topline,bottline,x8,x7,x6,x5,x4,x3,x2,x1,x0
1,0.1,10,0,1,5425028.09,-2329997.573,420483.9113,-41262.77796,2393.955657,-82.8844397,1.685451689,-0.016123614,-0.000397246
1,-0.1,10,0,1,-142002.5773,21038.83478,19607.30063,3644.186761,337.1938551,19.58753504,0.896139449,0.037290616,0.000485608
1,0.1,25,0,1,7477179.418,-3283545.161,608235.0757,-61772.09349,3743.331479,-136.9539812,2.975913423,-0.025154715,-0.000706633
1,-0.1,25,0,1,3551330.855,1265361.971,186471.7167,14808.71835,700.667517,21.86567377,0.659493814,0.038200238,0.000850306
1,0.1,50,0,1,4632457.856,-1932515.829,337493.4605,-32128.47428,1823.327664,-62.97715182,1.358155253,-0.001889555,-0.000939828
1,-0.1,50,0,1,3890940.417,1444438.081,221956.584,18250.13031,869.4039333,24.95514803,0.565279637,0.035596797,0.00093829
1,0.1,75,0,1,4228375.43,-1740444.849,298573.2222,-27755.59287,1525.256752,-50.43770236,1.031971168,0.005768207,-0.00096982
1,-0.1,75,0,1,5213766.236,1950951.599,301200.844,24728.72749,1161.713957,31.78069441,0.598102842,0.034277741,0.000874207
1,0.1,100,0,1,4263269.37,-1747481.621,298221.2349,-27556.69016,1504.505022,-49.47878473,1.004184132,0.008013642,-0.000926301
1,-0.1,100,0,1,8116512.813,3022708.769,462456.6861,37403.0826,1715.26926,44.86099481,0.728686518,0.034115996,0.000794962
1,0.2,10,0,1,18493.77293,-13741.6546,4279.6175,-713.2042019,68.95927095,-3.890946497,0.123720519,-0.001504337,-0.000494576
1,-0.2,10,0,1,25933.0177,20618.04706,6891.758562,1278.403795,148.9131933,12.09912765,0.761612241,0.037567172,0.00054153
1,0.2,25,0,1,78134.60077,-64660.00513,22164.11721,-4061.236849,429.6787093,-26.26204865,0.900764706,-0.012043427,-0.001112505
1,-0.2,25,0,1,44585.34881,33740.59215,10475.54382,1730.13092,167.0620299,10.38933741,0.570303171,0.043076544,0.001289428
1,0.2,50,0,1,-126760.1567,110980.3762,-40342.27567,7872.065112,-888.177167,58.16662541,-2.057674619,0.042689302,-0.001932442
1,-0.2,50,0,1,96806.22479,73078.92245,22526.77615,3651.535652,334.9929907,17.80129471,0.646891248,0.043126746,0.001793874
1,0.2,75,0,1,50084.95584,-42910.6744,15345.10702,-2963.824589,334.33417,-22.05167186,0.836438636,-0.003530897,-0.001879954
1,-0.2,75,0,1,57553.12601,42794.00164,12951.20476,2054.163091,184.0914199,9.665517999,0.386831308,0.038911646,0.001930463
1,0.2,100,0,1,50.72352587,2251.408621,-1734.789013,541.1548696,-87.49859922,7.863944137,-0.348148293,0.021294604,-0.002112031
1,-0.2,100,0,1,47438.82289,35640.5787,10938.5776,1767.619713,162.0751739,8.663576563,0.33832371,0.037009133,0.001924386
1,0.3,10,0,1,804.3773159,-807.4561845,344.1329379,-79.71227536,10.83826546,-0.866529918,0.037100053,-0.00030805,-0.000510018
1,-0.3,10,0,1,840.2808522,1145.219123,672.2636385,223.9547165,47.02514966,6.529184921,0.604801653,0.036086817,0.00055637
1,0.3,25,0,1,306.7021615,-308.106404,133.2189801,-30.99340135,4.327458043,-0.31852095,0.014939114,0.000844101,-0.00130353
1,-0.3,25,0,1,-7.364807791,37.91787073,56.55556898,33.0788876,10.90123203,2.35277553,0.366727893,0.04320154,0.001502189
1,0.3,50,0,1,5146.521592,-6314.822926,3197.846981,-861.4807401,132.9415445,-11.69616217,0.569442367,-0.008079996,-0.002108072
1,-0.3,50,0,1,3827.837156,4491.590635,2162.947473,552.0117473,80.90658893,7.122485151,0.463513109,0.045958668,0.002398586
1,0.3,75,0,1,715.9882818,-825.1009063,393.333504,-99.56264661,14.4917354,-1.167702458,0.069642868,0.006116811,-0.002629368
1,-0.3,75,0,1,2766.081142,3246.056616,1563.066667,398.7738746,58.38054595,5.126520886,0.341700495,0.04284606,0.002775553
1,0.3,100,0,1,-1825.694663,2417.426566,-1319.806851,383.9534169,-63.87588789,6.097436958,-0.290242594,0.016692042,-0.002942523
1,-0.3,100,0,1,2748.804307,3225.470381,1552.262384,395.2946563,57.5486765,4.95660379,0.311611139,0.041253714,0.002935548
1,0.4,10,0,1,155.2780104,-206.1093142,114.1697799,-34.01858789,5.885680767,-0.591189475,0.030793009,-0.000277604,-0.000518218
1,-0.4,10,0,1,174.118373,318.5524462,248.8396222,108.6269158,29.13574476,4.969729207,0.53635819,0.035146942,0.000566469
1,0.4,25,0,1,41.943087,-46.43359606,20.24566016,-3.932070095,0.291356535,0.025447382,-0.005227378,0.00091004,-0.001354874
