x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41,x42,y42,x43,y43,x44,y44,x45,y45,x46,y46,x47,y47,x48,y48,x49,y49,x50,y50,x51,y51,x52,y52,x53,y53,x54,y54,x55,y55,x56,y56,x57,y57,x58,y58,x59,y59,x60,y60,x61,y61,x62,y62,x63,y63,x64,y64,x65,y65,x66,y66,x67,y67,x68,y68,x69,y69,x70,y70,x71,y71,x72,y72,x73,y73,x74,y74,x75,y75,x76,y76,x77,y77,x78,y78,x79,y79,x80,y80,x81,y81,x82,y82,x83,y83,x84,y84,x85,y85,x86,y86,x87,y87,x88,y88,x89,y89,x90,y90,x91,y91,x92,y92,x93,y93,x94,y94,x95,y95,x96,y96,x97,y97,x98,y98,x99,y99,x100,y100,x101,y101,x102,y102,x103,y103,x104,y104,x105,y105,x106,y106,x107,y107,x108,y108,x109,y109,x110,y110,x111,y111,x112,y112,x113,y113,x114,y114,x115,y115,x116,y116,x117,y117,x118,y118,x119,y119,x120,y120,x121,y121,x122,y122,x123,y123,x124,y124,x125,y125,x126,y126,x127,y127,x128,y128,x129,y129,x130,y130,x131,y131,x132,y132,x133,y133,x134,y134,x135,y135,x136,y136,x137,y137,x138,y138,x139,y139,x140,y140,x141,y141,x142,y142,x143,y143,x144,y144,x145,y145,x146,y146,x147,y147,x148,y148,x149,y149,x150,y150,x151,y151,x152,y152,x153,y153,x154,y154,x155,y155,x156,y156,x157,y157,x158,y158,x159,y159,x160,y160,x161,y161,x162,y162,x163,y163,x164,y164,x165,y165,x166,y166,x167,y167,x168,y168,x169,y169,x170,y170,x171,y171,x172,y172,x173,y173,x174,y174,x175,y175,x176,y176,x177,y177,x178,y178,x179,y179,x180,y180,x181,y181,x182,y182,x183,y183,x184,y184,x185,y185,x186,y186,x187,y187,x188,y188,x189,y189,x190,y190,x191,y191,x192,y192,x193,y193,x194,y194,x195,y195,x196,y196,x197,y197,x198,y198,x199,y199,x200,y200,x201,y201,x202,y202,x203,y203,x204,y204,x205,y205,x206,y206,x207,y207,x208,y208,x209,y209,x210,y210,x211,y211,x212,y212,x213,y213,x214,y214,x215,y215,x216,y216,x217,y217,x218,y218,x219,y219,x220,y220,x221,y221,x222,y222,x223,y223,x224,y224,x225,y225,x226,y226,x227,y227,x228,y228,x229,y229,x230,y230,x231,y231,x232,y232,x233,y233,x234,y234,x235,y235,x236,y236,x237,y237,x238,y238,x239,y239,x240,y240,x241,y241,x242,y242,x243,y243,x244,y244,x245,y245,x246,y246,x247,y247,x248,y248,x249,y249,x250,y250,x251,y251,x252,y252,x253,y253,x254,y254,x255,y255,x256,y256,x257,y257,x258,y258,x259,y259,x260,y260,x261,y261,x262,y262,x263,y263,x264,y264,x265,y265,x266,y266,x267,y267,x268,y268,x269,y269,x270,y270,x271,y271,x272,y272,x273,y273,x274,y274,x275,y275,x276,y276,x277,y277,x278,y278,x279,y279,x280,y280,x281,y281,x282,y282,x283,y283,x284,y284,x285,y285,x286,y286,x287,y287,x288,y288,x289,y289,x290,y290,x291,y291,x292,y292,x293,y293,x294,y294,x295,y295,x296,y296,x297,y297,x298,y298,x299,y299,x300,y300
3.91E-05,-0.000418498,0.099961281,0.00041578,-0.09988308,-0.000459601,3.91E-05,0.00043905,3.91E-05,-0.000925902,0.099961281,0.000934866,-0.09988308,-0.000972299,3.91E-05,0.000952748,3.91E-05,-0.001235657,0.099961281,0.001303654,-0.09988308,-0.001329642,3.91E-05,0.001242809,3.91E-05,-0.001285629,0.099961281,0.001511746,-0.09988308,-0.00153411,3.91E-05,0.001285915,3.91E-05,-0.001260977,0.099961281,0.001686651,-0.09988308,-0.001704104,3.91E-05,0.00126255,3.91E-05,-0.000436141,0.199961662,0.000415207,-0.199883461,-0.000538661,3.91E-05,0.000464227,3.91E-05,-0.001155166,0.199961662,0.001150589,-0.199883461,-0.001333313,3.91E-05,0.001269989,3.91E-05,-0.001952203,0.199961662,0.001971229,-0.199883461,-0.002114471,3.91E-05,0.002066167,3.91E-05,-0.002363762,0.199961662,0.00241569,-0.199883461,-0.002523885,3.91E-05,0.002438149,3.91E-05,-0.00257915,0.199961662,0.002712427,-0.199883461,-0.002803599,3.91E-05,0.002613673,3.91E-05,-0.000442674,0.299883842,0.000413872,-0.299805641,-0.000625112,3.91E-05,0.000474002,3.91E-05,-0.001205711,0.299883842,0.001183586,-0.299805641,-0.001570398,3.91E-05,0.001390296,3.91E-05,-0.002270063,0.299883842,0.002291998,-0.299805641,-0.002692591,3.91E-05,0.002573476,3.91E-05,-0.002991569,0.299883842,0.003033244,-0.299805641,-0.003358639,3.91E-05,0.003260029,3.91E-05,-0.003470315,0.299883842,0.003535546,-0.299805641,-0.003800526,3.91E-05,0.003675022,3.91E-05,-0.000449635,0.399806023,0.000413777,-0.399727821,-0.00072501,3.91E-05,0.00048392,3.91E-05,-0.001232891,0.399806023,0.001189928,-0.399727821,-0.001807005,3.91E-05,0.001459724,3.91E-05,-0.002416024,0.399806023,0.002430043,-0.399727821,-0.003200615,3.91E-05,0.002933061,3.91E-05,-0.003358019,0.399806023,0.003411855,-0.399727821,-0.004112903,3.91E-05,0.003916541,3.91E-05,-0.004066411,0.399806023,0.004137032,-0.399727821,-0.004736322,3.91E-05,0.004563373,3.91E-05,-0.000458123,0.499728203,0.000418974,-0.499650002,-0.000833443,3.91E-05,0.000495412,3.91E-05,-0.001252871,0.499728203,0.001197128,-0.499650002,-0.002050002,3.91E-05,0.001503593,3.91E-05,-0.002489648,0.499728203,0.002490172,-0.499650002,-0.003677358,3.91E-05,0.003186882,3.91E-05,-0.00357007,0.499728203,0.003633061,-0.499650002,-0.004817814,3.91E-05,0.004446929,3.91E-05,-0.004465907,0.499728203,0.004561179,-0.499650002,-0.005646014,3.91E-05,0.005348463,3.91E-05,-0.000460698,0.599728584,0.00042565,-0.599650383,-0.000948743,3.91E-05,0.000503137,3.91E-05,-0.001275282,0.599728584,0.001207523,-0.599650383,-0.002285466,3.91E-05,0.001538783,3.91E-05,-0.002543578,0.599728584,0.002515922,-0.599650383,-0.004125873,3.91E-05,0.003368032,3.91E-05,-0.003696909,0.599728584,0.003750267,-0.599650383,-0.005514879,3.91E-05,0.00487451,3.91E-05,-0.004719633,0.599728584,0.004837221,-0.599650383,-0.006499076,3.91E-05,0.006013179,3.91E-05,-0.00047362,0.699650764,0.000432993,-0.699572563,-0.001058654,3.91E-05,0.000521876,3.91E-05,-0.001303892,0.699650764,0.001220589,-0.699572563,-0.002527556,3.91E-05,0.001573974,3.91E-05,-0.002586351,0.699650764,0.00253304,-0.699572563,-0.004561036,3.91E-05,0.003514327,3.91E-05,-0.003765955,0.699650764,0.003801336,-0.699572563,-0.006124282,3.91E-05,0.005254526,3.91E-05,-0.004874367,0.699650764,0.004983897,-0.699572563,-0.007307796,3.91E-05,0.006596351,3.91E-05,-0.000488593,0.799572945,0.000461175,-0.799494743,-0.001209145,3.91E-05,0.00054281,3.91E-05,-0.001330214,0.799572945,0.00128644,-0.799494743,-0.002723347,3.91E-05,0.001620323,3.91E-05,-0.002642141,0.799572945,0.002581725,-0.799494743,-0.004918952,3.91E-05,0.003632965,3.91E-05,-0.003865567,0.799572945,0.003852501,-0.799494743,-0.00667026,3.91E-05,0.005551119,3.91E-05,-0.005015559,0.799572945,0.005117674,-0.799494743,-0.008016854,3.91E-05,0.007079868,3.91E-05,-0.000496747,0.899573326,0.000541236,-0.899495125,-0.001373749,3.91E-05,0.000585725,3.91E-05,-0.001355486,0.899573326,0.00147174,-0.899495125,-0.002917754,3.91E-05,0.00169986,3.91E-05,-0.002696214,0.899573326,0.002794825,-0.899495125,-0.005236406,3.91E-05,0.003786507,3.91E-05,-0.003963223,0.899573326,0.004034558,-0.899495125,-0.007147579,3.91E-05,0.005801463,3.91E-05,-0.005166788,0.899573326,0.005265493,-0.899495125,-0.008649621,3.91E-05,0.00750473,3.91E-05,-0.000509383,0.99949646,0.000711802,-0.999418259,-0.001607925,3.91E-05,0.000656059,3.91E-05,-0.001424962,0.99949646,0.001704294,-0.999418259,-0.003179443,3.91E-05,0.001824028,3.91E-05,-0.002809798,0.99949646,0.003083932,-0.999418259,-0.005566854,3.91E-05,0.003989497,3.91E-05,-0.004108373,0.99949646,0.004353468,-0.999418259,-0.007598667,3.91E-05,0.006110931,3.91E-05,-0.005363722,0.99949646,0.005589743,-0.999418259,-0.009244714,3.91E-05,0.007939129,3.91E-05,-0.00054629,1.09941864,0.000943116,-1.099340439,-0.001895268,3.91E-05,0.000732449,3.91E-05,-0.001537734,1.09941864,0.00204881,-1.099340439,-0.003544654,3.91E-05,0.002023919,3.91E-05,-0.002984225,1.09941864,0.003466214,-1.099340439,-0.005962634,3.91E-05,0.004296486,3.91E-05,-0.004361718,1.09941864,0.004753727,-1.099340439,-0.008066444,3.91E-05,0.006520534,3.91E-05,-0.005674147,1.09941864,0.006026053,-1.099340439,-0.009856978,3.91E-05,0.008436475,3.91E-05,-0.000590971,1.199419022,0.001238327,-1.19934082,-0.002264818,3.91E-05,0.000838259,3.91E-05,-0.001553994,1.199419022,0.002404199,-1.19934082,-0.004117004,3.91E-05,0.002376447,3.91E-05,-0.003226364,1.199419022,0.003971044,-1.19934082,-0.006429458,3.91E-05,0.004777689,3.91E-05,-0.004703802,1.199419022,0.005302687,-1.19934082,-0.008568559,3.91E-05,0.007047443,3.91E-05,-0.006095672,1.199419022,0.006580138,-1.19934082,-0.010443487,3.91E-05,0.009024415,3.91E-05,-0.000672605,1.299341202,0.001651889,-1.299263,-0.002589355,3.91E-05,0.000927619,3.91E-05,-0.001643259,1.299341202,0.002919995,-1.299263,-0.004604572,3.91E-05,0.002943408,3.91E-05,-0.003524531,1.299341202,0.004531567,-1.299263,-0.006915836,3.91E-05,0.005524893,3.91E-05,-0.005128164,1.299341202,0.005856299,-1.299263,-0.008861337,3.91E-05,0.007602005,3.91E-05,-0.006637359,1.299341202,0.007176666,-1.299263,-0.010578909,3.91E-05,0.009351525,3.91E-05,-0.000758245,1.399263382,0.002307591,-1.399185181,-0.002623783,3.91E-05,0.001079683,3.91E-05,-0.001770908,1.399263382,0.003505172,-1.399185181,-0.004699368,3.91E-05,0.003443708,3.91E-05,-0.003771105,1.399263382,0.005076308,-1.399185181,-0.006898193,3.91E-05,0.005903506,3.91E-05,-0.005454321,1.399263382,0.00638988,-1.399185181,-0.008576665,3.91E-05,0.007627754,3.91E-05,-0.00687387,1.399263382,0.007633476,-1.399185181,-0.009979524,3.91E-05,0.008969102,3.91E-05,-0.000886038,1.499185562,0.002850901,-1.499107361,-0.003015363,3.91E-05,0.001310186,3.91E-05,-0.001907809,1.499185562,0.004347603,-1.499107361,-0.004970593,3.91E-05,0.003853741,3.91E-05,-0.004033795,1.499185562,0.005923533,-1.499107361,-0.007069378,3.91E-05,0.006310725,3.91E-05,-0.005816245,1.499185562,0.007144241,-1.499107361,-0.008609566,3.91E-05,0.00785902,3.91E-05,-0.007266789,1.499185562,0.008256707,-1.499107361,-0.009862699,3.91E-05,0.009060178
0.011289359,-5.17E-05,0.088711023,5.01E-05,-0.088632822,-7.90E-05,-0.011211157,6.44E-05,0.011289359,-0.000429781,0.088711023,0.000436469,-0.088632822,-0.00047424,-0.011211157,0.000455107,0.011289359,-0.000726452,0.088711023,0.00078654,-0.088632822,-0.000817326,-0.011211157,0.000736562,0.011289359,-0.000792119,0.088711023,0.00100138,-0.088632822,-0.001029036,-0.011211157,0.000796536,0.011289359,-0.000777391,0.088711023,0.00118032,-0.088632822,-0.001203453,-0.011211157,0.000781658,0.023789287,0.000150872,0.176211477,-0.000156386,-0.176133275,0.000123323,-0.023711085,-0.000144393,0.023789287,-0.000185556,0.176211477,0.000173188,-0.176133275,-0.000323869,-0.023711085,0.000271887,0.023789287,-0.000821582,0.176211477,0.000830731,-0.176133275,-0.000986472,-0.023711085,0.000935082,0.023789287,-0.001214873,0.176211477,0.001256817,-0.176133275,-0.001389669,-0.023711085,0.001302778,0.023789287,-0.001437955,0.176211477,0.001555366,-0.176133275,-0.001675433,-0.023711085,0.001497173,0.036288977,0.00026942,0.263633967,-0.000268103,-0.263555765,0.000276508,-0.036210775,-0.00027268,0.036288977,0.000113261,0.263633967,-0.000146008,-0.263555765,-0.00010354,-0.036210775,-1.29E-06,0.036288977,-0.0005856,0.263633967,0.000576975,-0.263555765,-0.000963186,-0.036210775,0.000850132,0.036288977,-0.001198302,0.263633967,0.001216285,-0.263555765,-0.00157969,-0.036210775,0.001471728,0.036288977,-0.001644349,0.263633967,0.00169006,-0.263555765,-0.002015408,-0.036210775,0.001879187,0.048789263,0.000336541,0.351124287,-0.000327481,-0.351046085,0.000408698,-0.048711061,-0.000352486,0.048789263,0.000355126,0.351124287,-0.00040365,-0.351046085,0.000109196,-0.048711061,-0.000247283,0.048789263,-0.000261475,0.351124287,0.000218481,-0.351046085,-0.000876514,-0.048711061,0.000663987,0.048789263,-0.000976507,0.351124287,0.000974015,-0.351046085,-0.001684863,-0.048711061,0.001488578,0.048789263,-0.001582301,0.351124287,0.001609224,-0.351046085,-0.002281562,-0.048711061,0.00209017,0.061289549,0.000375547,0.438556075,-0.000356377,-0.438477874,0.000530055,-0.061211348,-0.000405141,0.061289549,0.00054703,0.438556075,-0.000595125,-0.438477874,0.000315989,-0.061211348,-0.000456693,0.061289549,6.10E-05,0.438556075,-0.000142856,-0.438477874,-0.00075483,-0.061211348,0.000422807,0.061289549,-0.000660321,0.438556075,0.000626364,-0.438477874,-0.001730425,-0.061211348,0.001401019,0.061289549,-0.001363807,0.438556075,0.001375239,-0.438477874,-0.002494046,-0.061211348,0.002190003,0.073760152,0.000399471,0.525978804,-0.00036865,-0.525900602,0.000640389,-0.073681951,-0.000440748,0.073760152,0.000696566,0.525978804,-0.000731132,-0.525900602,0.000510325,-0.073681951,-0.000630507,0.073760152,0.00035208,0.525978804,-0.000466599,-0.525900602,-0.000612279,-0.073681951,0.000163997,0.073760152,-0.000319345,0.525978804,0.000248314,-0.525900602,-0.001752861,-0.073681951,0.001251142,0.073760152,-0.001058368,0.525978804,0.001047234,-0.525900602,-0.002664576,-0.073681951,0.00219656,0.086210966,0.000413056,0.613478899,-0.000372316,-0.613400698,0.00071595,-0.086132765,-0.000469305,0.086210966,0.000814184,0.613478899,-0.000821188,-0.613400698,0.000681838,-0.086132765,-0.000765398,0.086210966,0.000597223,0.613478899,-0.000721064,-0.613400698,-0.00048823,-0.086132765,-6.76E-05,0.086210966,-2.14E-05,0.613478899,-0.000102979,-0.613400698,-0.001742906,-0.086132765,0.001094763,0.086210966,-0.000756189,0.613478899,0.000689103,-0.613400698,-0.002815315,-0.086132765,0.002179453,0.098711252,0.000429471,0.700900793,-0.000380237,-0.700822592,0.000734309,-0.098633051,-0.000489011,0.098711252,0.000911377,0.700900793,-0.000883171,-0.700822592,0.000815126,-0.098633051,-0.000882837,0.098711252,0.000807092,0.700900793,-0.000907431,-0.700822592,-0.000330813,-0.098633051,-0.000282956,0.098711252,0.000248844,0.700900793,-0.000399448,-0.700822592,-0.00166226,-0.098633051,0.000904029,0.098711252,-0.000460916,0.700900793,0.000351529,-0.700822592,-0.002878557,-0.098633051,0.002087126,0.111211539,0.000441083,0.788333416,-0.000386383,-0.788255215,0.000728455,-0.111133337,-0.0005053,0.111211539,0.000973228,0.788333416,-0.000907413,-0.788255215,0.000870207,-0.111133337,-0.000957833,0.111211539,0.000982646,0.788333416,-0.000962124,-0.788255215,-0.00021745,-0.111133337,-0.000442799,0.111211539,0.000470068,0.788333416,-0.000527121,-0.788255215,-0.001628166,-0.111133337,0.000722732,0.111211539,-0.000211306,0.788333416,0.00012914,-0.788255215,-0.002928088,-0.111133337,0.001998851,0.123711467,0.000441481,0.875823736,-0.000416036,-0.875745535,0.000663426,-0.123633266,-0.000514891,0.123711467,0.001011078,0.875823736,-0.000889388,-0.875745535,0.000804093,-0.123633266,-0.001003943,0.123711467,0.001114736,0.875823736,-0.000941948,-0.875745535,-0.000191123,-0.123633266,-0.000579789,0.123711467,0.000657531,0.875823736,-0.000545116,-0.875745535,-0.001599674,-0.123633266,0.000602558,0.123711467,-4.10E-06,0.875823736,7.53E-05,-0.875745535,-0.002981139,-0.123633266,0.001927026,0.136211157,0.000455245,0.96324563,-0.000405997,-0.963167429,0.000534643,-0.136132956,-0.000503542,0.136211157,0.0010379,0.96324563,-0.000822803,-0.963167429,0.000635096,-0.136132956,-0.001030354,0.136211157,0.001183264,0.96324563,-0.0008562,-0.963167429,-0.000275262,-0.136132956,-0.000638309,0.136211157,0.000804469,0.96324563,-0.000488701,-0.963167429,-0.001630431,-0.136132956,0.000528474,0.136211157,0.000164211,0.96324563,0.000106574,-0.963167429,-0.003030073,-0.136132956,0.001858956,0.148711443,0.000466247,1.05074656,-0.000365098,-1.050668359,0.000329029,-0.148633241,-0.00051141,0.148711443,0.001119618,1.05074656,-0.000709113,-1.050668359,0.000280607,-0.148633241,-0.000987015,0.148711443,0.001240365,1.05074656,-0.000663408,-1.050668359,-0.000571122,-0.148633241,-0.000550398,0.148711443,0.000850537,1.05074656,-0.000274617,-1.050668359,-0.00183267,-0.148633241,0.000613808,0.148711443,0.000226409,1.05074656,0.000285496,-1.050668359,-0.003171633,-0.148633241,0.001950452,0.161211729,0.000485947,1.138168573,-0.000274976,-1.138090372,7.37E-05,-0.161133528,-0.000519975,0.161211729,0.001103596,1.138168573,-0.000453784,-1.138090372,-0.000273664,-0.161133528,-0.000712523,0.161211729,0.001057986,1.138168573,-0.000217278,-1.138090372,-0.001249392,-0.161133528,7.32E-05,0.161211729,0.000534947,1.138168573,0.000239344,-1.138090372,-0.002424667,-0.161133528,0.00125403,0.161211729,-0.000211878,1.138168573,0.000872228,-1.138090372,-0.003614738,-0.161133528,0.002450654,0.173711658,0.000519314,1.225590467,-0.000131759,-1.225512266,-0.000243081,-0.173633456,-0.000432293,0.173711658,0.000932983,1.225590467,4.89E-06,-1.225512266,-0.000855628,-0.173633456,-0.00011496,0.173711658,0.000589981,1.225590467,0.00044467,-1.225512266,-0.001890786,-0.173633456,0.000905046,0.173711658,-9.93E-05,1.225590467,0.001006708,-1.225512266,-0.002934227,-0.173633456,0.00192643,0.173711658,-0.000860152,1.225590467,0.001675074,-1.225512266,-0.003918364,-0.173633456,0.002851615,0.186211348,0.000540849,1.313090563,0.000144238,-1.313012362,-0.000507935,-0.186133146,-0.000334286,0.186211348,0.000913593,1.313090563,0.000483073,-1.313012362,-0.00122398,-0.186133146,0.000231494,0.186211348,0.000436367,1.313090563,0.001092814,-1.313012362,-0.002305517,-0.186133146,0.001369869,0.186211348,-0.000339754,1.313090563,0.001662736,-1.313012362,-0.003263846,-0.186133146,0.002281676,0.186211348,-0.001158868,1.313090563,0.00229753,-1.313012362,-0.004153981,-0.186133146,0.003117275
0.022539377,0.00014422,0.077480554,-0.000141932,-0.077402353,0.000132347,-0.022461176,-0.000138164,0.022539377,-7.40E-05,0.077480554,7.93E-05,-0.077402353,-0.000109649,-0.022461176,9.49E-05,0.022539377,-0.000312425,0.077480554,0.000366308,-0.077402353,-0.000395621,-0.022461176,0.000323702,0.022539377,-0.000371482,0.077480554,0.000564137,-0.077402353,-0.000592329,-0.022461176,0.000376548,0.022539377,-0.000353207,0.077480554,0.000734511,-0.077402353,-0.000759211,-0.022461176,0.000358118,0.047539234,0.000329532,0.152461529,-0.000317909,-0.152383327,0.000358952,-0.047461033,-0.000340284,0.047539234,0.000351192,0.152461529,-0.000356985,-0.152383327,0.000276186,-0.047461033,-0.000298453,0.047539234,-3.48E-05,0.152461529,4.01E-05,-0.152383327,-0.000169743,-0.047461033,0.000130296,0.047539234,-0.000341071,0.152461529,0.000376918,-0.152383327,-0.000501384,-0.047461033,0.000424065,0.047539234,-0.000527122,0.152461529,0.000632038,-0.152383327,-0.000752333,-0.047461033,0.000589695,0.072520018,0.000390817,0.227384091,-0.000369098,-0.227305889,0.000496974,-0.072441817,-0.000422706,0.072520018,0.000676539,0.227384091,-0.000684991,-0.227305889,0.000634423,-0.072441817,-0.000634959,0.072520018,0.000425901,0.227384091,-0.000442137,-0.227305889,0.000172902,-0.072441817,-0.000231112,0.072520018,2.36E-05,0.227384091,-1.98E-05,-0.227305889,-0.00028428,-0.072441817,0.000209952,0.072520018,-0.000313021,0.227384091,0.000342871,-0.227305889,-0.000641229,-0.072441817,0.000529923,0.097461224,0.00041026,0.302383899,-0.000384809,-0.302305698,0.000605383,-0.097383023,-0.000468185,0.097461224,0.000884918,0.302383899,-0.000884262,-0.302305698,0.000953511,-0.097383023,-0.000876036,0.097461224,0.00086737,0.302383899,-0.000907854,-0.302305698,0.000550618,-0.097383023,-0.00061387,0.097461224,0.000492992,0.302383899,-0.000519695,-0.302305698,-7.58E-06,-0.097383023,-9.73E-05,0.097461224,8.65E-05,0.302383899,-9.22E-05,-0.302305698,-0.00047014,-0.097383023,0.000342847,0.122461558,0.000416209,0.377306462,-0.000388719,-0.37722826,0.000704924,-0.122383356,-0.00050024,0.122461558,0.001019303,0.377306462,-0.000999133,-0.37722826,0.001254754,-0.122383356,-0.001063435,0.122461558,0.001238077,0.377306462,-0.001288156,-0.37722826,0.000944403,-0.122383356,-0.000985841,0.122461558,0.000975124,0.377306462,-0.001037089,-0.37722826,0.000323428,-0.122383356,-0.000455035,0.122461558,0.000572279,0.377306462,-0.000611522,-0.37722826,-0.000237847,-0.122383356,7.46E-05,0.147461415,0.000417401,0.45230627,-0.000389649,-0.452228069,0.000793567,-0.147383213,-0.000526132,0.147461415,0.001104907,0.45230627,-0.001059977,-0.452228069,0.001529282,-0.147383213,-0.001203852,0.147461415,0.001533991,0.45230627,-0.00158344,-0.452228069,0.001343935,-0.147383213,-0.001322906,0.147461415,0.001414901,0.45230627,-0.001504832,-0.452228069,0.000680092,-0.147383213,-0.000827781,0.147461415,0.001072578,0.45230627,-0.001144926,-0.452228069,2.18E-05,-0.147383213,-0.000239338,0.172461748,0.000433124,0.527228832,-0.000391246,-0.527150631,0.00086445,-0.172383547,-0.000552609,0.172461748,0.001168732,0.527228832,-0.001090758,-0.527150631,0.001761133,-0.172383547,-0.001309853,0.172461748,0.001759274,0.527228832,-0.00178482,-0.527150631,0.0016998,-0.172383547,-0.001602107,0.172461748,0.00177427,0.527228832,-0.001881464,-0.527150631,0.00102009,-0.172383547,-0.001160542,0.172461748,0.001509482,0.527228832,-0.001624173,-0.527150631,0.00027572,-0.172383547,-0.00053828,0.197461605,0.000418688,0.602228641,-0.00038736,-0.60215044,0.000913061,-0.197383404,-0.000579634,0.197461605,0.001211207,0.602228641,-0.001125614,-0.60215044,0.001931639,-0.197383404,-0.001394981,0.197461605,0.001950033,0.602228641,-0.001940246,-0.60215044,0.002040001,-0.197383404,-0.001856775,0.197461605,0.002088113,0.602228641,-0.002170547,-0.60215044,0.001395279,-0.197383404,-0.001500958,0.197461605,0.001913758,0.602228641,-0.002030953,-0.60215044,0.000583686,-0.197383404,-0.000863842,0.222383976,0.0004259,0.677151203,-0.000413253,-0.677073002,0.000930575,-0.222305774,-0.000600495,0.222383976,0.001231425,0.677151203,-0.001210563,-0.677073002,0.002036043,-0.222305774,-0.001469082,0.222383976,0.002086027,0.677151203,-0.002064307,-0.677073002,0.002303621,-0.222305774,-0.002065309,0.222383976,0.00233849,0.677151203,-0.002382753,-0.677073002,0.00168962,-0.222305774,-0.001803191,0.222383976,0.00225732,0.677151203,-0.002353737,-0.677073002,0.000874582,-0.222305774,-0.001172118,0.247383595,0.000441112,0.752151012,-0.000459053,-0.752072811,0.000929467,-0.247305393,-0.000610151,0.247383595,0.001242154,0.752151012,-0.001256304,-0.752072811,0.002040537,-0.247305393,-0.001532667,0.247383595,0.002192101,0.752151012,-0.002141901,-0.752072811,0.002425918,-0.247305393,-0.002240428,0.247383595,0.002548406,0.752151012,-0.002508626,-0.752072811,0.00192389,-0.247305393,-0.00206004,0.247383595,0.002543018,0.752151012,-0.002539144,-0.752072811,0.001105551,-0.247305393,-0.001442819,0.272384166,0.000443818,0.827073574,-0.000499068,-0.826995373,0.000895444,-0.272305965,-0.000641062,0.272384166,0.001285582,0.827073574,-0.001307886,-0.826995373,0.001923295,-0.272305965,-0.001584143,0.272384166,0.002276465,0.827073574,-0.002178832,-0.826995373,0.002436839,-0.272305965,-0.0023792,0.272384166,0.002722823,0.827073574,-0.002597449,-0.826995373,0.002058335,-0.272305965,-0.002275237,0.272384166,0.002793895,0.827073574,-0.002673684,-0.826995373,0.00132864,-0.272305965,-0.001730246,0.297383785,0.00045376,0.902073383,-0.000512113,-0.901995182,0.000769404,-0.297305584,-0.00065178,0.297383785,0.001315158,0.902073383,-0.001312106,-0.901995182,0.001706511,-0.297305584,-0.00160988,0.297383785,0.00234898,0.902073383,-0.00217447,-0.901995182,0.002219387,-0.297305584,-0.002428815,0.297383785,0.002835713,0.902073383,-0.002581189,-0.901995182,0.001970406,-0.297305584,-0.00236977,0.297383785,0.002968382,0.902073383,-0.002681802,-0.901995182,0.001352304,-0.297305584,-0.001856095,0.322384357,0.00046158,0.976995945,-0.000493026,-0.976917744,0.000585511,-0.322306156,-0.000658622,0.322384357,0.001359492,0.976995945,-0.001264792,-0.976917744,0.001279037,-0.322306156,-0.001564664,0.322384357,0.00233148,0.976995945,-0.001995726,-0.976917744,0.001568526,-0.322306156,-0.002094456,0.322384357,0.00267329,0.976995945,-0.002283785,-0.976917744,0.001279025,-0.322306156,-0.001876517,0.322384357,0.002670763,0.976995945,-0.002283832,-0.976917744,0.000747874,-0.322306156,-0.001365727,0.347383976,0.000493779,1.05199647,-0.00046878,-1.051918268,0.00033502,-0.347305775,-0.00064192,0.347383976,0.001362818,1.05199647,-0.001073722,-1.051918268,0.0006372,-0.347305775,-0.001244955,0.347383976,0.002024312,1.05199647,-0.001547772,-1.051918268,0.000656142,-0.347305775,-0.001342349,0.347383976,0.002120575,1.05199647,-0.001655466,-1.051918268,0.000350048,-0.347305775,-0.001060299,0.347383976,0.001991661,1.05199647,-0.001546711,-1.051918268,-9.03E-05,-0.347305775,-0.000668362,0.372306347,0.000556531,1.126918316,-0.000388908,-1.126840115,0.000156873,-0.372228145,-0.000612584,0.372306347,0.001423924,1.126918316,-0.000832931,-1.126840115,0.000254203,-0.372228145,-0.001049236,0.372306347,0.001971491,1.126918316,-0.001133876,-1.126840115,0.000131215,-0.372228145,-0.001005546,0.372306347,0.001994784,1.126918316,-0.001188605,-1.126840115,-0.000174201,-0.372228145,-0.000762227,0.372306347,0.001811297,1.126918316,-0.001042907,-1.126840115,-0.000565662,-0.372228145,-0.000434531
